id,precipitation,trend
1,0.67,1
2,0.5,1
3,0.33,0
4,0.72,0
5,0.69,1
6,0.18,0
7,0.05,0
8,0.2,1
9,0.23,0
10,0.91,0
11,0.85,0
12,0.62,0
13,1.16,1
14,0.28,1
15,0.27,0
16,0.41,1
17,0.18,1
18,0.59,0
19,0.06,0
20,0.26,0
21,0.2,1
22,0.32,0
23,0.55,0
24,0.11,0
25,0.46,0
26,0.32,1
27,0.06,1
28,0.22,0
29,0.3,1
30,0.29,0
31,0.46,0
32,0.15,0
33,0.06,0
34,0.19,0
35,0.96,1
36,0.01,1
37,0.05,0
38,0.21,1
39,0.79,0
40,0.87,0
41,0.67,0
42,0.92,1
43,0.04,0
44,0.27,1
45,0.24,1
46,0.11,1
47,0.12,1
48,0.11,0
49,0.76,1
50,0.41,0
51,0.62,0
52,0.67,1
53,0.04,0
54,0.96,0
55,0.17,0
56,0.42,1
57,0.31,1
58,0.05,0
59,0.48,1
60,0.31,1
61,0.23,1
62,0.54,0
63,0.32,0
64,0.33,1
65,0.09,0
66,0.3,0
