date,precipintensity,trip_counts
20150106,0.001289982,374040
20150118,0.057181148,416962
20150126,0.008881908,224097
20150130,0.001424809,471812
20150202,0.015235616,329387
20150210,0.000100626,414405
20150214,0.000535269,488369
20150218,6.44E-05,425680
20150222,0.003425113,389134
20150303,0.023187698,388231
20150311,0.000719559,418191
20150327,0.003466907,454909
20150331,0.006649252,419626
20150403,0.001447842,434151
20150407,0.008509115,416311
20150511,0.00360878,387419
20150519,0.000391318,424057
20150527,0.006471067,407258
20150528,3.98E-05,423289
20150608,0.003186561,383328
20150616,0.020122729,393077
20150620,0.001755539,405742
20150628,0.016860646,341374
20150704,0.000267021,249381
20150708,0.00454009,385469
20150720,0.0007017,366611
20150821,0.005797517,373359
20150825,1.68E-05,340426
20150909,0.000812056,388892
20150913,0.004695624,375279
20150929,0.002014357,353617
20151001,0.004293987,386116
20151009,0.016571142,394340
20151013,0.000163785,371976
20151025,0.001135928,382100
20151029,0.003103986,395726
20151110,0.009721396,370052
20151122,0.001506623,368688
20151202,0.004689862,372076
20151210,0.000185849,397657
20151214,0.014026543,362955
20151218,0.000136972,449055
20151222,0.004839926,348213
20151230,0.00559205,313340
20160109,0.000113085,398188
20160117,0.001509008,371817
20160201,0.000470893,334942
20160205,0.005409735,401208
20160209,8.31E-06,360428
20160221,0.001697423,364863
20160225,0.003212681,405729
20160229,0.002374995,340770
20160302,0.001613477,399244
20160314,0.01512632,376266
20160402,0.005315489,436668
20160422,0.000181514,381364
20160426,0.003267932,364951
20160430,0.000111282,412536
20160506,0.014720618,428790
20160515,0.000107042,400066
20160523,0.001891224,341030
20160603,0.001182121,394550
20160607,0.00070518,369564
20160611,0.001081892,380723
20160627,0.00539271,352140
20150109,0.001114862,435852
20150201,0.000655106,411721
20150209,0.003057091,372232
20150217,0.001162164,383982
20150221,0.015877277,443121
20150304,0.010367414,426083
20150320,0.012907254,446196
20150404,0.000177347,430032
20150408,0.000243001,433097
20150420,0.040302468,388560
20150512,7.13E-06,415871
20150516,0.01374477,469017
20150531,0.034988577,360153
20150603,3.96E-05,417221
20150615,0.012049235,367464
20150623,0.002687925,397581
20150627,0.032212372,436827
20150707,0.00476459,360414
20150715,0.004864628,397283
20150727,0.001070429,341804
20150818,0.00367558,363258
20150830,0.003001466,325975
20150910,0.032824638,393112
20150930,0.013765436,373979
20151002,0.0350836,405836
20151101,2.44E-05,381798
20151105,0.000471626,393723
20151201,0.010655308,366695
20151217,0.033797803,410159
20151225,0.00108286,184891
20151229,0.009190658,305620
20160110,0.027768936,345593
20160118,0.000113645,334032
20160122,5.55E-05,410947
20160210,6.86E-05,385252
20160214,0.077321802,391312
20160226,1.99E-05,427424
20160301,0.000246274,365463
20160317,0.001013974,391643
20160321,0.000681204,336902
20160325,0.002846912,392238
20160401,0.003596552,404521
20160409,0.003922349,447527
20160429,0.002436916,408122
20160501,0.005787044,374965
20160524,0.005513179,365064
20160528,0.00105753,324004
20160604,0.013599483,413253
20160608,0.015745967,374393
20160616,0.005043442,391739
20160628,0.009622605,342183
20150104,0.01341663,321976
20150112,0.013208197,386855
20150124,0.011526561,450717
20150204,4.80E-05,405464
20150301,0.012960569,374803
20150305,0.016553038,357706
20150309,0.000531087,382664
20150317,0.00076027,402886
20150321,0.000198854,456939
20150325,0.002719759,415913
20150417,0.001224279,458991
20150421,0.006299018,416928
20150517,0.003081203,413780
20150602,0.014204676,411412
20150606,0.00217915,440703
20150614,0.00604834,373872
20150702,0.00016622,358748
20150714,0.032741795,378258
20150718,0.003886103,396139
20150726,0.001802133,342751
20150730,0.023660989,383253
20150811,0.040764178,350128
20150819,0.000444214,372967
20150911,0.000797218,402984
20151003,0.007789292,404540
20151112,0.001839131,398679
20151120,0.00026196,413434
20151128,0.000751148,338084
20151204,8.93E-05,421757
20151216,0.001290648,408756
20151224,0.000651312,291602
20151228,0.001928738,294729
20160115,0.000226469,393541
20160123,0.03051467,76212
20160127,1.85E-05,352258
20160203,0.028416806,365079
20160211,2.82E-05,421612
20160215,0.185574643,342263
20160223,0.01153101,388232
20160304,0.001551219,425049
20160316,0.001218154,390311
20160320,0.000590354,380348
20160328,0.015082804,338222
20160404,0.018342454,367170
20160408,0.000126244,431284
20160412,0.006639683,383032
20160420,9.07E-05,387342
20160504,0.001161208,400097
20160508,0.002158243,366354
20160513,0.004271195,389602
20160521,0.00237069,427859
20160605,0.02496135,346751
20160621,9.26E-05,358170
20160629,0.000828393,350493
20150103,0.023997966,397643
20150127,0.000320409,132693
20150207,0.000291295,473911
20150215,0.000181841,446609
20150310,0.014739689,404102
20150314,0.024458733,485256
20150326,0.0105274,417554
20150410,0.003636235,457281
20150414,0.000395986,402433
20150422,0.003307346,423031
20150601,0.018010894,391666
20150605,0.002142455,442141
20150609,0.001736325,400675
20150621,0.018165418,358902
20150701,0.003339235,382360
20150709,0.011816768,397828
20150721,0.000951121,367580
20150804,0.002601848,368821
20150816,0.001787571,328374
20150904,4.94E-05,355245
20150912,0.010701269,425072
20150928,0.000143063,316874
20151028,0.043333976,379219
20151111,0.003737117,364702
20151119,0.042614196,386810
20151215,0.001361691,389081
20151223,0.04803909,332593
20151227,0.005663799,263554
20151231,0.001996207,333248
20160116,0.011475921,404233
20160124,7.66E-08,156623
20160204,0.000358315,387478
20160208,0.001586985,335811
20160216,0.034333495,356827
20160224,0.035293153,392925
20160311,0.000561959,416954
20160315,3.01E-05,376200
20160403,0.008556645,383747
20160407,0.005894221,401808
20160411,0.000554675,348424
20160423,0.005325318,384608
20160503,0.010893608,393525
20160507,0.000235697,425970
20160514,0.000398567,428054
20160518,0.000125459,373731
20160522,0.002241033,362478
20160530,0.017702513,256304
